Tanggal,Daerah,Persen
07/05/2021,Bali,22.33%
07/06/2021,Bali,22.37%
07/07/2021,Bali,22.41%
07/08/2021,Bali,22.44%
07/09/2021,Bali,22.47%
07/10/2021,Bali,22.53%
07/11/2021,Bali,22.53%
07/12/2021,Bali,22.58%
07/13/2021,Bali,22.62%
07/14/2021,Bali,22.68%
07/15/2021,Bali,22.72%
07/16/2021,Bali,22.77%
07/17/2021,Bali,22.86%
07/18/2021,Bali,22.86%
07/19/2021,Bali,22.97%
07/20/2021,Bali,22.97%
07/21/2021,Bali,23.06%
07/22/2021,Bali,23.11%
07/23/2021,Bali,23.17%
07/24/2021,Bali,23.26%
07/25/2021,Bali,23.26%
07/26/2021,Bali,23.33%
07/27/2021,Bali,23.42%
07/28/2021,Bali,23.74%
07/29/2021,Bali,24.23%
07/30/2021,Bali,24.88%
07/31/2021,Bali,25.60%
08/01/2021,Bali,25.70%
08/02/2021,Bali,26.51%
08/03/2021,Bali,27.70%
08/04/2021,Bali,28.85%
08/05/2021,Bali,29.91%
