Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Banten,4.95%
07/06/2021,Banten,5.03%
07/07/2021,Banten,5.12%
07/08/2021,Banten,5.20%
07/09/2021,Banten,5.25%
07/10/2021,Banten,5.27%
07/11/2021,Banten,5.27%
07/12/2021,Banten,5.31%
07/13/2021,Banten,5.45%
07/14/2021,Banten,5.56%
07/15/2021,Banten,5.70%
07/16/2021,Banten,5.79%
07/17/2021,Banten,5.88%
07/18/2021,Banten,5.89%
07/19/2021,Banten,5.97%
07/20/2021,Banten,5.97%
07/21/2021,Banten,6.12%
07/22/2021,Banten,6.33%
07/23/2021,Banten,6.50%
07/24/2021,Banten,6.64%
07/25/2021,Banten,6.64%
07/26/2021,Banten,6.83%
07/27/2021,Banten,7.44%
07/28/2021,Banten,7.49%
07/29/2021,Banten,8.20%
07/30/2021,Banten,8.41%
07/31/2021,Banten,8.60%
08/01/2021,Banten,8.63%
08/02/2021,Banten,8.90%
08/03/2021,Banten,9.15%
08/04/2021,Banten,9.42%
08/05/2021,Banten,9.48%
