Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Jawa Timur,7.00%
07/06/2021,Jawa Timur,7.11%
07/07/2021,Jawa Timur,7.22%
07/08/2021,Jawa Timur,7.36%
07/09/2021,Jawa Timur,7.45%
07/10/2021,Jawa Timur,7.54%
07/11/2021,Jawa Timur,7.55%
07/12/2021,Jawa Timur,7.69%
07/13/2021,Jawa Timur,7.82%
07/14/2021,Jawa Timur,7.96%
07/15/2021,Jawa Timur,8.11%
07/16/2021,Jawa Timur,8.19%
07/17/2021,Jawa Timur,8.27%
07/18/2021,Jawa Timur,8.28%
07/19/2021,Jawa Timur,8.37%
07/20/2021,Jawa Timur,8.37%
07/21/2021,Jawa Timur,8.52%
07/22/2021,Jawa Timur,8.69%
07/23/2021,Jawa Timur,8.78%
07/24/2021,Jawa Timur,8.95%
07/25/2021,Jawa Timur,8.97%
07/26/2021,Jawa Timur,9.16%
07/27/2021,Jawa Timur,9.35%
07/28/2021,Jawa Timur,9.53%
07/29/2021,Jawa Timur,9.72%
07/30/2021,Jawa Timur,9.83%
07/31/2021,Jawa Timur,9.95%
08/01/2021,Jawa Timur,9.97%
08/02/2021,Jawa Timur,10.13%
08/03/2021,Jawa Timur,10.30%
08/04/2021,Jawa Timur,10.51%
08/05/2021,Jawa Timur,10.74%
