Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Kalimantan Tengah,8.42%
07/06/2021,Kalimantan Tengah,8.57%
07/07/2021,Kalimantan Tengah,8.80%
07/08/2021,Kalimantan Tengah,9.02%
07/09/2021,Kalimantan Tengah,9.18%
07/10/2021,Kalimantan Tengah,9.52%
07/11/2021,Kalimantan Tengah,9.53%
07/12/2021,Kalimantan Tengah,9.72%
07/13/2021,Kalimantan Tengah,9.83%
07/14/2021,Kalimantan Tengah,9.94%
07/15/2021,Kalimantan Tengah,10.05%
07/16/2021,Kalimantan Tengah,10.15%
07/17/2021,Kalimantan Tengah,10.32%
07/18/2021,Kalimantan Tengah,10.35%
07/19/2021,Kalimantan Tengah,10.44%
07/20/2021,Kalimantan Tengah,10.44%
07/21/2021,Kalimantan Tengah,10.54%
07/22/2021,Kalimantan Tengah,10.67%
07/23/2021,Kalimantan Tengah,10.76%
07/24/2021,Kalimantan Tengah,10.93%
07/25/2021,Kalimantan Tengah,10.93%
07/26/2021,Kalimantan Tengah,11.11%
07/27/2021,Kalimantan Tengah,11.29%
07/28/2021,Kalimantan Tengah,11.46%
07/29/2021,Kalimantan Tengah,11.59%
07/30/2021,Kalimantan Tengah,11.66%
07/31/2021,Kalimantan Tengah,11.74%
08/01/2021,Kalimantan Tengah,11.74%
08/02/2021,Kalimantan Tengah,11.81%
08/03/2021,Kalimantan Tengah,12.08%
08/04/2021,Kalimantan Tengah,12.27%
08/05/2021,Kalimantan Tengah,12.76%
