Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Sulawesi Selatan,6.65%
07/06/2021,Sulawesi Selatan,6.75%
07/07/2021,Sulawesi Selatan,6.84%
07/08/2021,Sulawesi Selatan,6.90%
07/09/2021,Sulawesi Selatan,6.94%
07/10/2021,Sulawesi Selatan,7.00%
07/11/2021,Sulawesi Selatan,7.00%
07/12/2021,Sulawesi Selatan,7.09%
07/13/2021,Sulawesi Selatan,7.15%
07/14/2021,Sulawesi Selatan,7.22%
07/15/2021,Sulawesi Selatan,7.29%
07/16/2021,Sulawesi Selatan,7.35%
07/17/2021,Sulawesi Selatan,7.43%
07/18/2021,Sulawesi Selatan,7.43%
07/19/2021,Sulawesi Selatan,7.47%
07/20/2021,Sulawesi Selatan,7.47%
07/21/2021,Sulawesi Selatan,7.53%
07/22/2021,Sulawesi Selatan,7.66%
07/23/2021,Sulawesi Selatan,7.76%
07/24/2021,Sulawesi Selatan,8.18%
07/25/2021,Sulawesi Selatan,8.22%
07/26/2021,Sulawesi Selatan,8.44%
07/27/2021,Sulawesi Selatan,8.63%
07/28/2021,Sulawesi Selatan,8.79%
07/29/2021,Sulawesi Selatan,8.96%
07/30/2021,Sulawesi Selatan,9.08%
07/31/2021,Sulawesi Selatan,9.19%
08/01/2021,Sulawesi Selatan,9.21%
08/02/2021,Sulawesi Selatan,9.32%
08/03/2021,Sulawesi Selatan,9.47%
08/04/2021,Sulawesi Selatan,9.76%
08/05/2021,Sulawesi Selatan,10.06%
