Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Aceh,3.79%
07/06/2021,Aceh,3.99%
07/07/2021,Aceh,4.19%
07/08/2021,Aceh,4.36%
07/09/2021,Aceh,4.50%
07/10/2021,Aceh,4.57%
07/11/2021,Aceh,4.59%
07/12/2021,Aceh,4.77%
07/13/2021,Aceh,4.94%
07/14/2021,Aceh,5.11%
07/15/2021,Aceh,5.25%
07/16/2021,Aceh,5.38%
07/17/2021,Aceh,5.45%
07/18/2021,Aceh,5.46%
07/19/2021,Aceh,5.50%
07/20/2021,Aceh,5.51%
07/21/2021,Aceh,5.54%
07/22/2021,Aceh,5.62%
07/23/2021,Aceh,5.69%
07/24/2021,Aceh,5.99%
07/25/2021,Aceh,6.06%
07/26/2021,Aceh,6.25%
07/27/2021,Aceh,6.37%
07/28/2021,Aceh,6.48%
07/29/2021,Aceh,6.58%
07/30/2021,Aceh,6.65%
07/31/2021,Aceh,6.78%
08/01/2021,Aceh,6.79%
08/02/2021,Aceh,6.95%
08/03/2021,Aceh,7.08%
08/04/2021,Aceh,7.21%
08/05/2021,Aceh,7.31%
