Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Bangka Belitung,6.78%
07/06/2021,Bangka Belitung,6.90%
07/07/2021,Bangka Belitung,7.12%
07/08/2021,Bangka Belitung,7.29%
07/09/2021,Bangka Belitung,7.35%
07/10/2021,Bangka Belitung,7.41%
07/11/2021,Bangka Belitung,7.41%
07/12/2021,Bangka Belitung,7.57%
07/13/2021,Bangka Belitung,7.67%
07/14/2021,Bangka Belitung,7.77%
07/15/2021,Bangka Belitung,7.95%
07/16/2021,Bangka Belitung,8.02%
07/17/2021,Bangka Belitung,8.13%
07/18/2021,Bangka Belitung,8.13%
07/19/2021,Bangka Belitung,8.20%
07/20/2021,Bangka Belitung,8.20%
07/21/2021,Bangka Belitung,8.28%
07/22/2021,Bangka Belitung,8.53%
07/23/2021,Bangka Belitung,8.74%
07/24/2021,Bangka Belitung,9.23%
07/25/2021,Bangka Belitung,9.23%
07/26/2021,Bangka Belitung,9.64%
07/27/2021,Bangka Belitung,10.13%
07/28/2021,Bangka Belitung,10.47%
07/29/2021,Bangka Belitung,10.75%
07/30/2021,Bangka Belitung,10.92%
07/31/2021,Bangka Belitung,11.01%
08/01/2021,Bangka Belitung,11.01%
08/02/2021,Bangka Belitung,11.09%
08/03/2021,Bangka Belitung,11.39%
08/04/2021,Bangka Belitung,11.65%
08/05/2021,Bangka Belitung,11.90%
