Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Bengkulu,3.97%
07/06/2021,Bengkulu,4.03%
07/07/2021,Bengkulu,4.10%
07/08/2021,Bengkulu,4.16%
07/09/2021,Bengkulu,4.19%
07/10/2021,Bengkulu,4.22%
07/11/2021,Bengkulu,4.22%
07/12/2021,Bengkulu,4.29%
07/13/2021,Bengkulu,4.57%
07/14/2021,Bengkulu,4.75%
07/15/2021,Bengkulu,4.89%
07/16/2021,Bengkulu,5.05%
07/17/2021,Bengkulu,5.14%
07/18/2021,Bengkulu,5.15%
07/19/2021,Bengkulu,5.27%
07/20/2021,Bengkulu,5.27%
07/21/2021,Bengkulu,5.44%
07/22/2021,Bengkulu,5.59%
07/23/2021,Bengkulu,5.65%
07/24/2021,Bengkulu,5.93%
07/25/2021,Bengkulu,5.94%
07/26/2021,Bengkulu,6.37%
07/27/2021,Bengkulu,6.69%
07/28/2021,Bengkulu,8.93%
07/29/2021,Bengkulu,7.10%
07/30/2021,Bengkulu,7.15%
07/31/2021,Bengkulu,7.21%
08/01/2021,Bengkulu,7.21%
08/02/2021,Bengkulu,7.34%
08/03/2021,Bengkulu,7.53%
08/04/2021,Bengkulu,7.80%
08/05/2021,Bengkulu,8.13%
