Tanggal,Kota,Tingkat Vaksinasi,Dalam atau Luar Jawa Bali,Jumlah Penduduk
07/05/2021,Jakarta,22.70%,0,10562088
07/06/2021,Jakarta,22.73%,0,10562088
07/07/2021,Jakarta,22.76%,0,10562088
07/08/2021,Jakarta,22.80%,0,10562088
07/09/2021,Jakarta,22.83%,0,10562088
07/10/2021,Jakarta,22.84%,0,10562088
07/11/2021,Jakarta,22.85%,0,10562088
07/12/2021,Jakarta,22.89%,0,10562088
07/13/2021,Jakarta,22.93%,0,10562088
07/14/2021,Jakarta,22.97%,0,10562088
07/15/2021,Jakarta,23.00%,0,10562088
07/16/2021,Jakarta,23.04%,0,10562088
07/17/2021,Jakarta,23.09%,0,10562088
07/18/2021,Jakarta,23.11%,0,10562088
07/19/2021,Jakarta,23.28%,0,10562088
07/20/2021,Jakarta,23.28%,0,10562088
07/21/2021,Jakarta,23.75%,0,10562088
07/22/2021,Jakarta,24.37%,0,10562088
07/23/2021,Jakarta,25.12%,0,10562088
07/24/2021,Jakarta,25.47%,0,10562088
07/25/2021,Jakarta,25.66%,0,10562088
07/26/2021,Jakarta,26.62%,0,10562088
07/27/2021,Jakarta,27.64%,0,10562088
07/28/2021,Jakarta,28.92%,0,10562088
07/29/2021,Jakarta,30.31%,0,10562088
07/30/2021,Jakarta,31.79%,0,10562088
07/31/2021,Jakarta,32.37%,0,10562088
08/01/2021,Jakarta,32.71%,0,10562088
08/02/2021,Jakarta,34.13%,0,10562088
08/03/2021,Jakarta,35.51%,0,10562088
08/04/2021,Jakarta,37.03%,0,10562088
08/05/2021,Jakarta,37.07%,0,10562088
07/05/2021,Bali,22.33%,0,4317404
07/06/2021,Bali,22.37%,0,4317404
07/07/2021,Bali,22.41%,0,4317404
07/08/2021,Bali,22.44%,0,4317404
07/09/2021,Bali,22.47%,0,4317404
07/10/2021,Bali,22.53%,0,4317404
07/11/2021,Bali,22.53%,0,4317404
07/12/2021,Bali,22.58%,0,4317404
07/13/2021,Bali,22.62%,0,4317404
07/14/2021,Bali,22.68%,0,4317404
07/15/2021,Bali,22.72%,0,4317404
07/16/2021,Bali,22.77%,0,4317404
07/17/2021,Bali,22.86%,0,4317404
07/18/2021,Bali,22.86%,0,4317404
07/19/2021,Bali,22.97%,0,4317404
07/20/2021,Bali,22.97%,0,4317404
07/21/2021,Bali,23.06%,0,4317404
07/22/2021,Bali,23.11%,0,4317404
07/23/2021,Bali,23.17%,0,4317404
07/24/2021,Bali,23.26%,0,4317404
07/25/2021,Bali,23.26%,0,4317404
07/26/2021,Bali,23.33%,0,4317404
07/27/2021,Bali,23.42%,0,4317404
07/28/2021,Bali,23.74%,0,4317404
07/29/2021,Bali,24.23%,0,4317404
07/30/2021,Bali,24.88%,0,4317404
07/31/2021,Bali,25.60%,0,4317404
08/01/2021,Bali,25.70%,0,4317404
08/02/2021,Bali,26.51%,0,4317404
08/03/2021,Bali,27.70%,0,4317404
08/04/2021,Bali,28.85%,0,4317404
08/05/2021,Bali,29.91%,0,4317404
07/05/2021,yogyakarta,13.83%,0,3668719
07/06/2021,yogyakarta,13.85%,0,3668719
07/07/2021,yogyakarta,13.87%,0,3668719
07/08/2021,yogyakarta,13.91%,0,3668719
07/09/2021,yogyakarta,13.91%,0,3668719
07/10/2021,yogyakarta,13.93%,0,3668719
07/11/2021,yogyakarta,13.95%,0,3668719
07/12/2021,yogyakarta,13.96%,0,3668719
07/13/2021,yogyakarta,13.98%,0,3668719
07/14/2021,yogyakarta,13.99%,0,3668719
07/15/2021,yogyakarta,14.00%,0,3668719
07/16/2021,yogyakarta,14.00%,0,3668719
07/17/2021,yogyakarta,14.01%,0,3668719
07/18/2021,yogyakarta,14.01%,0,3668719
07/19/2021,yogyakarta,14.02%,0,3668719
07/20/2021,yogyakarta,14.02%,0,3668719
07/21/2021,yogyakarta,14.04%,0,3668719
07/22/2021,yogyakarta,14.08%,0,3668719
07/23/2021,yogyakarta,14.12%,0,3668719
07/24/2021,yogyakarta,14.39%,0,3668719
07/25/2021,yogyakarta,14.40%,0,3668719
07/26/2021,yogyakarta,14.48%,0,3668719
07/27/2021,yogyakarta,14.63%,0,3668719
07/28/2021,yogyakarta,14.76%,0,3668719
07/29/2021,yogyakarta,14.95%,0,3668719
07/30/2021,yogyakarta,15.04%,0,3668719
07/31/2021,yogyakarta,15.17%,0,3668719
08/01/2021,yogyakarta,15.20%,0,3668719
08/02/2021,yogyakarta,15.41%,0,3668719
08/03/2021,yogyakarta,15.69%,0,3668719
08/04/2021,yogyakarta,15.94%,0,3668719
