Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Gorontalo,6.71%
07/06/2021,Gorontalo,6.82%
07/07/2021,Gorontalo,6.93%
07/08/2021,Gorontalo,7.03%
07/09/2021,Gorontalo,7.12%
07/10/2021,Gorontalo,7.16%
07/11/2021,Gorontalo,7.16%
07/12/2021,Gorontalo,7.31%
07/13/2021,Gorontalo,7.48%
07/14/2021,Gorontalo,7.65%
07/15/2021,Gorontalo,7.87%
07/16/2021,Gorontalo,7.98%
07/17/2021,Gorontalo,8.09%
07/18/2021,Gorontalo,8.10%
07/19/2021,Gorontalo,8.30%
07/20/2021,Gorontalo,8.30%
07/21/2021,Gorontalo,8.43%
07/22/2021,Gorontalo,8.63%
07/23/2021,Gorontalo,8.74%
07/24/2021,Gorontalo,8.94%
07/25/2021,Gorontalo,8.97%
07/26/2021,Gorontalo,9.24%
07/27/2021,Gorontalo,9.45%
07/28/2021,Gorontalo,9.77%
07/29/2021,Gorontalo,10.12%
07/30/2021,Gorontalo,10.27%
07/31/2021,Gorontalo,10.42%
08/01/2021,Gorontalo,10.44%
08/02/2021,Gorontalo,10.65%
08/03/2021,Gorontalo,10.85%
08/04/2021,Gorontalo,11.05%
08/05/2021,Gorontalo,11.19%
