Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Jambi,5.30%
07/06/2021,Jambi,5.50%
07/07/2021,Jambi,5.71%
07/08/2021,Jambi,5.88%
07/09/2021,Jambi,5.96%
07/10/2021,Jambi,6.09%
07/11/2021,Jambi,6.10%
07/12/2021,Jambi,6.28%
07/13/2021,Jambi,6.47%
07/14/2021,Jambi,6.63%
07/15/2021,Jambi,6.78%
07/16/2021,Jambi,6.86%
07/17/2021,Jambi,6.94%
07/18/2021,Jambi,6.94%
07/19/2021,Jambi,7.02%
07/20/2021,Jambi,7.03%
07/21/2021,Jambi,7.11%
07/22/2021,Jambi,7.26%
07/23/2021,Jambi,7.34%
07/24/2021,Jambi,7.68%
07/25/2021,Jambi,7.75%
07/26/2021,Jambi,8.11%
07/27/2021,Jambi,8.38%
07/28/2021,Jambi,8.68%
07/29/2021,Jambi,9.05%
07/30/2021,Jambi,9.30%
07/31/2021,Jambi,9.54%
08/01/2021,Jambi,9.56%
08/02/2021,Jambi,9.87%
08/03/2021,Jambi,10.15%
08/04/2021,Jambi,10.41%
08/05/2021,Jambi,10.66%
