Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Jawa Barat,5.20%
07/06/2021,Jawa Barat,5.27%
07/07/2021,Jawa Barat,5.34%
07/08/2021,Jawa Barat,5.43%
07/09/2021,Jawa Barat,5.50%
07/10/2021,Jawa Barat,5.54%
07/11/2021,Jawa Barat,5.55%
07/12/2021,Jawa Barat,5.62%
07/13/2021,Jawa Barat,5.69%
07/14/2021,Jawa Barat,5.78%
07/15/2021,Jawa Barat,5.86%
07/16/2021,Jawa Barat,5.92%
07/17/2021,Jawa Barat,5.96%
07/18/2021,Jawa Barat,5.96%
07/19/2021,Jawa Barat,6.03%
07/20/2021,Jawa Barat,6.03%
07/21/2021,Jawa Barat,6.14%
07/22/2021,Jawa Barat,6.28%
07/23/2021,Jawa Barat,6.36%
07/24/2021,Jawa Barat,6.62%
07/25/2021,Jawa Barat,6.63%
07/26/2021,Jawa Barat,6.77%
07/27/2021,Jawa Barat,6.92%
07/28/2021,Jawa Barat,7.08%
07/29/2021,Jawa Barat,7.25%
07/30/2021,Jawa Barat,7.36%
07/31/2021,Jawa Barat,7.48%
08/01/2021,Jawa Barat,7.49%
08/02/2021,Jawa Barat,7.63%
08/03/2021,Jawa Barat,7.84%
08/04/2021,Jawa Barat,8.04%
08/05/2021,Jawa Barat,8.18%
