Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Jawa tengah,6.51%
07/06/2021,Jawa tengah,6.63%
07/07/2021,Jawa tengah,6.78%
07/08/2021,Jawa tengah,6.95%
07/09/2021,Jawa tengah,7.02%
07/10/2021,Jawa tengah,7.12%
07/11/2021,Jawa tengah,7.12%
07/12/2021,Jawa tengah,7.25%
07/13/2021,Jawa tengah,7.38%
07/14/2021,Jawa tengah,7.51%
07/15/2021,Jawa tengah,7.64%
07/16/2021,Jawa tengah,7.73%
07/17/2021,Jawa tengah,7.83%
07/18/2021,Jawa tengah,7.84%
07/19/2021,Jawa tengah,7.94%
07/20/2021,Jawa tengah,7.94%
07/21/2021,Jawa tengah,8.11%
07/22/2021,Jawa tengah,8.30%
07/23/2021,Jawa tengah,8.41%
07/24/2021,Jawa tengah,8.78%
07/25/2021,Jawa tengah,8.79%
07/26/2021,Jawa tengah,8.99%
07/27/2021,Jawa tengah,9.18%
07/28/2021,Jawa tengah,9.37%
07/29/2021,Jawa tengah,9.57%
07/30/2021,Jawa tengah,9.69%
07/31/2021,Jawa tengah,9.83%
08/01/2021,Jawa tengah,9.85%
08/02/2021,Jawa tengah,10.03%
08/03/2021,Jawa tengah,10.20%
08/04/2021,Jawa tengah,10.39%
08/05/2021,Jawa tengah,10.58%
