Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Kalimantan Barat,3.99%
07/06/2021,Kalimantan Barat,4.04%
07/07/2021,Kalimantan Barat,4.09%
07/08/2021,Kalimantan Barat,4.15%
07/09/2021,Kalimantan Barat,4.20%
07/10/2021,Kalimantan Barat,4.22%
07/11/2021,Kalimantan Barat,4.23%
07/12/2021,Kalimantan Barat,4.30%
07/13/2021,Kalimantan Barat,4.41%
07/14/2021,Kalimantan Barat,4.54%
07/15/2021,Kalimantan Barat,4.67%
07/16/2021,Kalimantan Barat,4.78%
07/17/2021,Kalimantan Barat,4.88%
07/18/2021,Kalimantan Barat,4.88%
07/19/2021,Kalimantan Barat,5.00%
07/20/2021,Kalimantan Barat,5.01%
07/21/2021,Kalimantan Barat,5.19%
07/22/2021,Kalimantan Barat,5.41%
07/23/2021,Kalimantan Barat,5.55%
07/24/2021,Kalimantan Barat,5.70%
07/25/2021,Kalimantan Barat,5.72%
07/26/2021,Kalimantan Barat,5.87%
07/27/2021,Kalimantan Barat,6.05%
07/28/2021,Kalimantan Barat,6.25%
07/29/2021,Kalimantan Barat,6.47%
07/30/2021,Kalimantan Barat,6.61%
07/31/2021,Kalimantan Barat,6.73%
08/01/2021,Kalimantan Barat,6.79%
08/02/2021,Kalimantan Barat,6.97%
08/03/2021,Kalimantan Barat,7.16%
08/04/2021,Kalimantan Barat,7.41%
08/05/2021,Kalimantan Barat,7.70%
