Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Kalimantan Timur,8.10%
07/06/2021,Kalimantan Timur,8.18%
07/07/2021,Kalimantan Timur,8.31%
07/08/2021,Kalimantan Timur,8.38%
07/09/2021,Kalimantan Timur,8.44%
07/10/2021,Kalimantan Timur,8.51%
07/11/2021,Kalimantan Timur,8.51%
07/12/2021,Kalimantan Timur,8.61%
07/13/2021,Kalimantan Timur,8.73%
07/14/2021,Kalimantan Timur,8.79%
07/15/2021,Kalimantan Timur,8.90%
07/16/2021,Kalimantan Timur,8.94%
07/17/2021,Kalimantan Timur,9.14%
07/18/2021,Kalimantan Timur,9.15%
07/19/2021,Kalimantan Timur,9.20%
07/20/2021,Kalimantan Timur,9.20%
07/21/2021,Kalimantan Timur,9.28%
07/22/2021,Kalimantan Timur,9.38%
07/23/2021,Kalimantan Timur,9.43%
07/24/2021,Kalimantan Timur,10.02%
07/25/2021,Kalimantan Timur,10.09%
07/26/2021,Kalimantan Timur,10.29%
07/27/2021,Kalimantan Timur,10.51%
07/28/2021,Kalimantan Timur,10.72%
07/29/2021,Kalimantan Timur,10.84%
07/30/2021,Kalimantan Timur,10.93%
07/31/2021,Kalimantan Timur,11.04%
08/01/2021,Kalimantan Timur,11.05%
08/02/2021,Kalimantan Timur,11.17%
08/03/2021,Kalimantan Timur,11.37%
08/04/2021,Kalimantan Timur,11.69%
08/05/2021,Kalimantan Timur,11.79%
