Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Kalimantan Utara,5.55%
07/06/2021,Kalimantan Utara,5.60%
07/07/2021,Kalimantan Utara,5.67%
07/08/2021,Kalimantan Utara,5.91%
07/09/2021,Kalimantan Utara,5.98%
07/10/2021,Kalimantan Utara,6.03%
07/11/2021,Kalimantan Utara,6.03%
07/12/2021,Kalimantan Utara,6.13%
07/13/2021,Kalimantan Utara,6.20%
07/14/2021,Kalimantan Utara,6.31%
07/15/2021,Kalimantan Utara,6.40%
07/16/2021,Kalimantan Utara,6.46%
07/17/2021,Kalimantan Utara,6.54%
07/18/2021,Kalimantan Utara,6.54%
07/19/2021,Kalimantan Utara,6.63%
07/20/2021,Kalimantan Utara,6.64%
07/21/2021,Kalimantan Utara,6.68%
07/22/2021,Kalimantan Utara,7.00%
07/23/2021,Kalimantan Utara,7.03%
07/24/2021,Kalimantan Utara,7.34%
07/25/2021,Kalimantan Utara,7.37%
07/26/2021,Kalimantan Utara,7.49%
07/27/2021,Kalimantan Utara,7.56%
07/28/2021,Kalimantan Utara,7.62%
07/29/2021,Kalimantan Utara,7.73%
07/30/2021,Kalimantan Utara,7.83%
07/31/2021,Kalimantan Utara,7.97%
08/01/2021,Kalimantan Utara,7.98%
08/02/2021,Kalimantan Utara,8.09%
08/03/2021,Kalimantan Utara,8.14%
08/04/2021,Kalimantan Utara,8.26%
08/05/2021,Kalimantan Utara,8.42%
