Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Kep. Riau,8.39%
07/06/2021,Kep. Riau,8.51%
07/07/2021,Kep. Riau,8.72%
07/08/2021,Kep. Riau,8.88%
07/09/2021,Kep. Riau,9.01%
07/10/2021,Kep. Riau,9.14%
07/11/2021,Kep. Riau,9.26%
07/12/2021,Kep. Riau,9.48%
07/13/2021,Kep. Riau,9.73%
07/14/2021,Kep. Riau,10.03%
07/15/2021,Kep. Riau,10.38%
07/16/2021,Kep. Riau,10.66%
07/17/2021,Kep. Riau,11.02%
07/18/2021,Kep. Riau,11.44%
07/19/2021,Kep. Riau,11.56%
07/20/2021,Kep. Riau,11.56%
07/21/2021,Kep. Riau,11.82%
07/22/2021,Kep. Riau,12.00%
07/23/2021,Kep. Riau,12.30%
07/24/2021,Kep. Riau,12.65%
07/25/2021,Kep. Riau,12.73%
07/26/2021,Kep. Riau,13.19%
07/27/2021,Kep. Riau,13.87%
07/28/2021,Kep. Riau,14.16%
07/29/2021,Kep. Riau,14.53%
07/30/2021,Kep. Riau,14.83%
07/31/2021,Kep. Riau,15.05%
08/01/2021,Kep. Riau,15.06%
08/02/2021,Kep. Riau,15.29%
08/03/2021,Kep. Riau,15.58%
08/04/2021,Kep. Riau,16.01%
08/05/2021,Kep. Riau,16.70%
