Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Maluku,4.23%
07/06/2021,Maluku,4.26%
07/07/2021,Maluku,4.29%
07/08/2021,Maluku,4.33%
07/09/2021,Maluku,4.35%
07/10/2021,Maluku,4.38%
07/11/2021,Maluku,4.38%
07/12/2021,Maluku,4.44%
07/13/2021,Maluku,4.48%
07/14/2021,Maluku,4.52%
07/15/2021,Maluku,4.58%
07/16/2021,Maluku,4.63%
07/17/2021,Maluku,4.68%
07/18/2021,Maluku,4.69%
07/19/2021,Maluku,4.71%
07/20/2021,Maluku,4.72%
07/21/2021,Maluku,4.75%
07/22/2021,Maluku,4.78%
07/23/2021,Maluku,4.81%
07/24/2021,Maluku,5.11%
07/25/2021,Maluku,5.11%
07/26/2021,Maluku,5.30%
07/27/2021,Maluku,5.48%
07/28/2021,Maluku,5.66%
07/29/2021,Maluku,5.79%
07/30/2021,Maluku,5.97%
07/31/2021,Maluku,6.05%
08/01/2021,Maluku,6.05%
08/02/2021,Maluku,6.21%
08/03/2021,Maluku,6.37%
08/04/2021,Maluku,6.55%
08/05/2021,Maluku,6.69%
