Tanggal,Daerah,Persen Vaksinasi
07/05/2021,NTB,4.77%
07/06/2021,NTB,4.79%
07/07/2021,NTB,4.81%
07/08/2021,NTB,4.84%
07/09/2021,NTB,4.86%
07/10/2021,NTB,4.89%
07/11/2021,NTB,4.89%
07/12/2021,NTB,4.92%
07/13/2021,NTB,4.96%
07/14/2021,NTB,5.00%
07/15/2021,NTB,5.03%
07/16/2021,NTB,5.04%
07/17/2021,NTB,5.06%
07/18/2021,NTB,5.06%
07/19/2021,NTB,5.08%
07/20/2021,NTB,5.08%
07/21/2021,NTB,5.09%
07/22/2021,NTB,5.13%
07/23/2021,NTB,5.17%
07/24/2021,NTB,5.27%
07/25/2021,NTB,5.27%
07/26/2021,NTB,5.36%
07/27/2021,NTB,5.41%
07/28/2021,NTB,5.44%
07/29/2021,NTB,5.47%
07/30/2021,NTB,5.47%
07/31/2021,NTB,5.52%
08/01/2021,NTB,5.52%
08/02/2021,NTB,5.56%
08/03/2021,NTB,5.70%
08/04/2021,NTB,5.81%
08/05/2021,NTB,5.98%
