Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Papua Barat,5.92%
07/06/2021,Papua Barat,6.05%
07/07/2021,Papua Barat,6.14%
07/08/2021,Papua Barat,6.23%
07/09/2021,Papua Barat,6.32%
07/10/2021,Papua Barat,6.38%
07/11/2021,Papua Barat,6.38%
07/12/2021,Papua Barat,6.44%
07/13/2021,Papua Barat,6.49%
07/14/2021,Papua Barat,6.54%
07/15/2021,Papua Barat,6.68%
07/16/2021,Papua Barat,6.77%
07/17/2021,Papua Barat,6.87%
07/18/2021,Papua Barat,6.89%
07/19/2021,Papua Barat,6.97%
07/20/2021,Papua Barat,6.99%
07/21/2021,Papua Barat,7.06%
07/22/2021,Papua Barat,7.13%
07/23/2021,Papua Barat,7.20%
07/24/2021,Papua Barat,7.52%
07/25/2021,Papua Barat,7.54%
07/26/2021,Papua Barat,7.74%
07/27/2021,Papua Barat,7.84%
07/28/2021,Papua Barat,8.01%
07/29/2021,Papua Barat,8.15%
07/30/2021,Papua Barat,8.23%
07/31/2021,Papua Barat,8.37%
08/01/2021,Papua Barat,8.42%
08/02/2021,Papua Barat,8.63%
08/03/2021,Papua Barat,8.88%
08/04/2021,Papua Barat,9.15%
08/05/2021,Papua Barat,9.36%
