Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Papua,5.00%
07/06/2021,Papua,5.03%
07/07/2021,Papua,5.09%
07/08/2021,Papua,5.13%
07/09/2021,Papua,5.18%
07/10/2021,Papua,5.22%
07/11/2021,Papua,5.23%
07/12/2021,Papua,5.28%
07/13/2021,Papua,5.33%
07/14/2021,Papua,5.39%
07/15/2021,Papua,5.44%
07/16/2021,Papua,5.49%
07/17/2021,Papua,5.52%
07/18/2021,Papua,5.52%
07/19/2021,Papua,5.57%
07/20/2021,Papua,5.57%
07/21/2021,Papua,5.62%
07/22/2021,Papua,5.69%
07/23/2021,Papua,5.74%
07/24/2021,Papua,5.95%
07/25/2021,Papua,5.95%
07/26/2021,Papua,6.05%
07/27/2021,Papua,6.16%
07/28/2021,Papua,6.28%
07/29/2021,Papua,6.39%
07/30/2021,Papua,6.48%
07/31/2021,Papua,6.63%
08/01/2021,Papua,6.66%
08/02/2021,Papua,6.84%
08/03/2021,Papua,7.10%
08/04/2021,Papua,7.36%
08/05/2021,Papua,7.60%
