Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Riau,8.12%
07/06/2021,Riau,8.39%
07/07/2021,Riau,8.66%
07/08/2021,Riau,8.94%
07/09/2021,Riau,9.11%
07/10/2021,Riau,9.30%
07/11/2021,Riau,9.34%
07/12/2021,Riau,9.54%
07/13/2021,Riau,9.71%
07/14/2021,Riau,9.83%
07/15/2021,Riau,9.94%
07/16/2021,Riau,10.00%
07/17/2021,Riau,10.05%
07/18/2021,Riau,10.06%
07/19/2021,Riau,10.10%
07/20/2021,Riau,10.10%
07/21/2021,Riau,10.14%
07/22/2021,Riau,10.20%
07/23/2021,Riau,10.25%
07/24/2021,Riau,10.71%
07/25/2021,Riau,10.80%
07/26/2021,Riau,11.04%
07/27/2021,Riau,11.20%
07/28/2021,Riau,11.30%
07/29/2021,Riau,11.42%
07/30/2021,Riau,11.49%
07/31/2021,Riau,11.58%
08/01/2021,Riau,11.59%
08/02/2021,Riau,11.69%
08/03/2021,Riau,11.75%
08/04/2021,Riau,11.85%
08/05/2021,Riau,11.94%
