Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Sulawesi Barat,5.45%
07/06/2021,Sulawesi Barat,5.52%
07/07/2021,Sulawesi Barat,5.56%
07/08/2021,Sulawesi Barat,5.62%
07/09/2021,Sulawesi Barat,5.67%
07/10/2021,Sulawesi Barat,5.73%
07/11/2021,Sulawesi Barat,5.73%
07/12/2021,Sulawesi Barat,5.82%
07/13/2021,Sulawesi Barat,5.93%
07/14/2021,Sulawesi Barat,6.04%
07/15/2021,Sulawesi Barat,6.19%
07/16/2021,Sulawesi Barat,6.27%
07/17/2021,Sulawesi Barat,6.35%
07/18/2021,Sulawesi Barat,6.36%
07/19/2021,Sulawesi Barat,6.43%
07/20/2021,Sulawesi Barat,6.43%
07/21/2021,Sulawesi Barat,6.46%
07/22/2021,Sulawesi Barat,6.53%
07/23/2021,Sulawesi Barat,6.58%
07/24/2021,Sulawesi Barat,6.71%
07/25/2021,Sulawesi Barat,6.71%
07/26/2021,Sulawesi Barat,6.81%
07/27/2021,Sulawesi Barat,6.93%
07/28/2021,Sulawesi Barat,7.02%
07/29/2021,Sulawesi Barat,7.14%
07/30/2021,Sulawesi Barat,7.22%
07/31/2021,Sulawesi Barat,7.26%
08/01/2021,Sulawesi Barat,7.26%
08/02/2021,Sulawesi Barat,7.32%
08/03/2021,Sulawesi Barat,7.39%
08/04/2021,Sulawesi Barat,7.49%
08/05/2021,Sulawesi Barat,7.60%
