Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Sulawesi Tengah,4.52%
07/06/2021,Sulawesi Tengah,4.58%
07/07/2021,Sulawesi Tengah,4.68%
07/08/2021,Sulawesi Tengah,4.75%
07/09/2021,Sulawesi Tengah,4.82%
07/10/2021,Sulawesi Tengah,4.92%
07/11/2021,Sulawesi Tengah,4.93%
07/12/2021,Sulawesi Tengah,5.00%
07/13/2021,Sulawesi Tengah,5.06%
07/14/2021,Sulawesi Tengah,5.16%
07/15/2021,Sulawesi Tengah,5.24%
07/16/2021,Sulawesi Tengah,5.31%
07/17/2021,Sulawesi Tengah,5.38%
07/18/2021,Sulawesi Tengah,5.39%
07/19/2021,Sulawesi Tengah,5.44%
07/20/2021,Sulawesi Tengah,5.45%
07/21/2021,Sulawesi Tengah,5.52%
07/22/2021,Sulawesi Tengah,5.63%
07/23/2021,Sulawesi Tengah,5.74%
07/24/2021,Sulawesi Tengah,6.01%
07/25/2021,Sulawesi Tengah,6.02%
07/26/2021,Sulawesi Tengah,6.20%
07/27/2021,Sulawesi Tengah,6.38%
07/28/2021,Sulawesi Tengah,6.51%
07/29/2021,Sulawesi Tengah,6.64%
07/30/2021,Sulawesi Tengah,6.71%
07/31/2021,Sulawesi Tengah,6.77%
08/01/2021,Sulawesi Tengah,6.79%
08/02/2021,Sulawesi Tengah,6.84%
08/03/2021,Sulawesi Tengah,6.92%
08/04/2021,Sulawesi Tengah,7.06%
08/05/2021,Sulawesi Tengah,7.21%
