Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Sulawesi Tenggara,4.97%
07/06/2021,Sulawesi Tenggara,5.05%
07/07/2021,Sulawesi Tenggara,5.14%
07/08/2021,Sulawesi Tenggara,5.25%
07/09/2021,Sulawesi Tenggara,5.32%
07/10/2021,Sulawesi Tenggara,5.37%
07/11/2021,Sulawesi Tenggara,5.38%
07/12/2021,Sulawesi Tenggara,5.46%
07/13/2021,Sulawesi Tenggara,5.58%
07/14/2021,Sulawesi Tenggara,5.68%
07/15/2021,Sulawesi Tenggara,5.83%
07/16/2021,Sulawesi Tenggara,5.95%
07/17/2021,Sulawesi Tenggara,6.03%
07/18/2021,Sulawesi Tenggara,6.04%
07/19/2021,Sulawesi Tenggara,6.08%
07/20/2021,Sulawesi Tenggara,6.08%
07/21/2021,Sulawesi Tenggara,6.15%
07/22/2021,Sulawesi Tenggara,6.28%
07/23/2021,Sulawesi Tenggara,6.33%
07/24/2021,Sulawesi Tenggara,6.70%
07/25/2021,Sulawesi Tenggara,6.70%
07/26/2021,Sulawesi Tenggara,6.88%
07/27/2021,Sulawesi Tenggara,7.00%
07/28/2021,Sulawesi Tenggara,7.21%
07/29/2021,Sulawesi Tenggara,7.33%
07/30/2021,Sulawesi Tenggara,7.44%
07/31/2021,Sulawesi Tenggara,7.52%
08/01/2021,Sulawesi Tenggara,7.52%
08/02/2021,Sulawesi Tenggara,7.68%
08/03/2021,Sulawesi Tenggara,7.86%
08/04/2021,Sulawesi Tenggara,8.12%
08/05/2021,Sulawesi Tenggara,8.44%
