Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Sulawesi Utara,7.03%
07/06/2021,Sulawesi Utara,7.13%
07/07/2021,Sulawesi Utara,7.22%
07/08/2021,Sulawesi Utara,7.30%
07/09/2021,Sulawesi Utara,7.41%
07/10/2021,Sulawesi Utara,7.42%
07/11/2021,Sulawesi Utara,7.42%
07/12/2021,Sulawesi Utara,7.51%
07/13/2021,Sulawesi Utara,7.58%
07/14/2021,Sulawesi Utara,7.66%
07/15/2021,Sulawesi Utara,7.72%
07/16/2021,Sulawesi Utara,7.77%
07/17/2021,Sulawesi Utara,7.80%
07/18/2021,Sulawesi Utara,7.80%
07/19/2021,Sulawesi Utara,7.84%
07/20/2021,Sulawesi Utara,7.85%
07/21/2021,Sulawesi Utara,7.93%
07/22/2021,Sulawesi Utara,8.00%
07/23/2021,Sulawesi Utara,8.13%
07/24/2021,Sulawesi Utara,8.31%
07/25/2021,Sulawesi Utara,8.31%
07/26/2021,Sulawesi Utara,8.47%
07/27/2021,Sulawesi Utara,8.71%
07/28/2021,Sulawesi Utara,9.02%
07/29/2021,Sulawesi Utara,9.26%
07/30/2021,Sulawesi Utara,9.46%
07/31/2021,Sulawesi Utara,9.56%
08/01/2021,Sulawesi Utara,9.57%
08/02/2021,Sulawesi Utara,9.86%
08/03/2021,Sulawesi Utara,10.19%
08/04/2021,Sulawesi Utara,10.63%
08/05/2021,Sulawesi Utara,11.03%
