Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Sumatera Barat,3.63%
07/06/2021,Sumatera Barat,3.67%
07/07/2021,Sumatera Barat,3.71%
07/08/2021,Sumatera Barat,3.75%
07/09/2021,Sumatera Barat,3.77%
07/10/2021,Sumatera Barat,3.80%
07/11/2021,Sumatera Barat,3.80%
07/12/2021,Sumatera Barat,3.85%
07/13/2021,Sumatera Barat,3.91%
07/14/2021,Sumatera Barat,3.97%
07/15/2021,Sumatera Barat,4.02%
07/16/2021,Sumatera Barat,4.07%
07/17/2021,Sumatera Barat,4.13%
07/18/2021,Sumatera Barat,4.13%
07/19/2021,Sumatera Barat,4.20%
07/20/2021,Sumatera Barat,4.20%
07/21/2021,Sumatera Barat,4.27%
07/22/2021,Sumatera Barat,4.38%
07/23/2021,Sumatera Barat,4.46%
07/24/2021,Sumatera Barat,4.64%
07/25/2021,Sumatera Barat,4.64%
07/26/2021,Sumatera Barat,4.80%
07/27/2021,Sumatera Barat,4.93%
07/28/2021,Sumatera Barat,5.03%
07/29/2021,Sumatera Barat,5.13%
07/30/2021,Sumatera Barat,5.18%
07/31/2021,Sumatera Barat,5.25%
08/01/2021,Sumatera Barat,5.26%
08/02/2021,Sumatera Barat,5.38%
08/03/2021,Sumatera Barat,5.53%
08/04/2021,Sumatera Barat,5.73%
08/05/2021,Sumatera Barat,5.93%
