Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Sumatera Selatan,5.33%
07/06/2021,Sumatera Selatan,5.39%
07/07/2021,Sumatera Selatan,5.45%
07/08/2021,Sumatera Selatan,5.53%
07/09/2021,Sumatera Selatan,5.58%
07/10/2021,Sumatera Selatan,5.61%
07/11/2021,Sumatera Selatan,5.61%
07/12/2021,Sumatera Selatan,5.71%
07/13/2021,Sumatera Selatan,5.81%
07/14/2021,Sumatera Selatan,5.89%
07/15/2021,Sumatera Selatan,5.97%
07/16/2021,Sumatera Selatan,6.07%
07/17/2021,Sumatera Selatan,6.11%
07/18/2021,Sumatera Selatan,6.12%
07/19/2021,Sumatera Selatan,6.17%
07/20/2021,Sumatera Selatan,6.17%
07/21/2021,Sumatera Selatan,6.24%
07/22/2021,Sumatera Selatan,6.32%
07/23/2021,Sumatera Selatan,6.40%
07/24/2021,Sumatera Selatan,6.82%
07/25/2021,Sumatera Selatan,6.83%
07/26/2021,Sumatera Selatan,7.18%
07/27/2021,Sumatera Selatan,7.52%
07/28/2021,Sumatera Selatan,7.81%
07/29/2021,Sumatera Selatan,8.08%
07/30/2021,Sumatera Selatan,8.20%
07/31/2021,Sumatera Selatan,8.27%
08/01/2021,Sumatera Selatan,8.28%
08/02/2021,Sumatera Selatan,8.44%
08/03/2021,Sumatera Selatan,8.60%
08/04/2021,Sumatera Selatan,8.76%
08/05/2021,Sumatera Selatan,8.97%
