Tanggal,Daerah,Persen Vaksinasi
07/05/2021,Sumatera Utara,5.22%
07/06/2021,Sumatera Utara,5.38%
07/07/2021,Sumatera Utara,5.55%
07/08/2021,Sumatera Utara,5.71%
07/09/2021,Sumatera Utara,5.82%
07/10/2021,Sumatera Utara,5.86%
07/11/2021,Sumatera Utara,5.86%
07/12/2021,Sumatera Utara,5.98%
07/13/2021,Sumatera Utara,6.11%
07/14/2021,Sumatera Utara,6.26%
07/15/2021,Sumatera Utara,6.41%
07/16/2021,Sumatera Utara,6.53%
07/17/2021,Sumatera Utara,6.57%
07/18/2021,Sumatera Utara,6.57%
07/19/2021,Sumatera Utara,6.63%
07/20/2021,Sumatera Utara,6.64%
07/21/2021,Sumatera Utara,6.77%
07/22/2021,Sumatera Utara,6.91%
07/23/2021,Sumatera Utara,7.08%
07/24/2021,Sumatera Utara,7.50%
07/25/2021,Sumatera Utara,7.56%
07/26/2021,Sumatera Utara,7.87%
07/27/2021,Sumatera Utara,8.17%
07/28/2021,Sumatera Utara,8.43%
07/29/2021,Sumatera Utara,8.59%
07/30/2021,Sumatera Utara,8.72%
07/31/2021,Sumatera Utara,8.85%
08/01/2021,Sumatera Utara,8.92%
08/02/2021,Sumatera Utara,9.06%
08/03/2021,Sumatera Utara,9.22%
08/04/2021,Sumatera Utara,9.40%
08/05/2021,Sumatera Utara,9.59%
