Tanggal,Negara,Tingkat Vaksinasi
07/05/2021,Indonesia,6.83%
07/06/2021,Indonesia,6.92%
07/07/2021,Indonesia,7.03%
07/08/2021,Indonesia,7.14%
07/09/2021,Indonesia,7.20%
07/10/2021,Indonesia,7.27%
07/11/2021,Indonesia,7.27%
07/12/2021,Indonesia,7.37%
07/13/2021,Indonesia,7.48%
07/14/2021,Indonesia,7.59%
07/15/2021,Indonesia,7.70%
07/16/2021,Indonesia,7.77%
07/17/2021,Indonesia,7.84%
07/18/2021,Indonesia,7.85%
07/19/2021,Indonesia,7.93%
07/20/2021,Indonesia,7.93%
07/21/2021,Indonesia,8.05%
07/22/2021,Indonesia,8.21%
07/23/2021,Indonesia,8.34%
07/24/2021,Indonesia,8.62%
07/25/2021,Indonesia,8.65%
07/26/2021,Indonesia,8.88%
07/27/2021,Indonesia,9.12%
07/28/2021,Indonesia,9.36%
07/29/2021,Indonesia,9.59%
07/30/2021,Indonesia,9.78%
07/31/2021,Indonesia,9.92%
08/01/2021,Indonesia,9.96%
08/02/2021,Indonesia,10.17%
08/03/2021,Indonesia,10.42%
08/04/2021,Indonesia,10.69%
08/05/2021,Indonesia,10.69%
